Stadtteil;Ortsteile;Bezirk;Fläche (km²);Einwohner;Bevölkerungs­dichte (Einwohner/km²);Koordinaten
Wohldorf-Ohlstedt;523;Wandsbek;17,3;4650;269;53.6927777777778, 10.1311111111111
Winterhude;408–413;Hamburg-Nord;7,6;55491;7301;53.6, 10
Wilstorf;705;Harburg;3,4;17658;5194;53.4436111111111, 9.98416666666667
Wilhelmsburg;135–137;Hamburg-Mitte;35,4;53518;1512;53.495, 10.0111111111111
Wellingsbüttel;517;Wandsbek;4,1;10848;2646;53.6377777777778, 10.0811111111111
Wandsbek;505–509;Wandsbek;6,0;36443;6074;53.5819444444444, 10.0841666666667
Waltershof;140;Hamburg-Mitte;9,8;0;0;53.5277777777778, 9.90055555555556
Volksdorf;525;Wandsbek;11,6;20978;1808;53.6497222222222, 10.1841666666667
Veddel;134;Hamburg-Mitte;4,4;4475;1017;53.5166666666667, 10.0333333333333
Uhlenhorst;414–415;Hamburg-Nord;2,2;18634;8470;53.5725, 10.0186111111111
Tonndorf;513;Wandsbek;3,9;15148;3884;53.5861111111111, 10.1247222222222
Tatenberg;613;Bergedorf;3,1;597;193;53.4875, 10.0791666666667
Sülldorf;226;Altona;5,7;9436;1655;53.585, 9.79416666666667
Sternschanze;207;Altona;0,5;8092;16184;53.5616666666667, 9.96222222222222
Stellingen;321;Eimsbüttel;5,8;26683;4601;53.5922222222222, 9.92861111111111
Steinwerder;139;Hamburg-Mitte;7,4;33;4;53.5344444444444, 9.95722222222222
Steilshoop;516;Wandsbek;2,5;19941;7976;53.6102777777778, 10.0591666666667
St. Pauli;109–112;Hamburg-Mitte;2,5;22097;8839;53.5569444444444, 9.96388888888889
St. Georg;113–114;Hamburg-Mitte;2,4;11358;4733;53.555, 10.0122222222222
Spadenland;614;Bergedorf;3,4;523;154;53.5, 10.2333333333333
Sinstorf;708;Harburg;2,5;4201;1680;53.4238888888889, 9.98055555555556
Schnelsen;319;Eimsbüttel;9,0;29604;3289;53.6333333333333, 9.91666666666667
Sasel;518;Wandsbek;8,4;23750;2827;53.6538888888889, 10.1119444444444
Rotherbaum;311–312;Eimsbüttel;3,0;16982;5661;53.5680555555556, 9.98833333333333
Rothenburgsort;132–133;Hamburg-Mitte;7,4;9187;1241;53.535, 10.0408333333333
Rönneburg;706;Harburg;2,3;3436;1494;53.4375, 10.0044444444444
Rissen;227;Altona;16,7;15886;951;53.5830555555556, 9.75361111111111
Reitbrook;609;Bergedorf;6,9;506;73;53.4677777777778, 10.1483333333333
Rahlstedt;526;Wandsbek;26,6;92087;3462;53.6019444444444, 10.1566666666667
Poppenbüttel;519;Wandsbek;8,1;23901;2951;53.6591666666667, 10.0847222222222
Ottensen;211–214;Altona;2,8;35585;12709;53.5538888888889, 9.91777777777778
Othmarschen;219;Altona;6,0;15737;2623;53.5527777777778, 9.89444444444444
Osdorf;221;Altona;7,2;26565;3690;53.5727777777778, 9.84666666666667
Ohlsdorf;430;Hamburg-Nord;7,2;16666;2315;53.6258333333333, 10.0313888888889
Ochsenwerder;608;Bergedorf;14,0;2912;208;53.4736111111111, 10.0805555555556
Nienstedten;222;Altona;4,3;7181;1670;53.555, 9.84472222222222
Niendorf;318;Eimsbüttel;12,4;40838;3293;53.6177777777778, 9.95027777777778
Neuwerk;142;Hamburg-Mitte;7,6;30;4;53.9211111111111, 8.50055555555556
Neustadt;105–108;Hamburg-Mitte;2,3;12762;5549;53.5519444444444, 9.98555555555556
Neuland;703;Harburg;8,0;1623;203;53.4711111111111, 10.0247222222222
Neugraben-Fischbek;715;Harburg;22,5;31589;1404;53.4833333333333, 9.85
Neuengamme;606;Bergedorf;18,6;3730;201;53.4463888888889, 10.2219444444444
Neuenfelde;717;Harburg;15,6;4927;316;53.5147222222222, 9.79555555555556
Neuallermöhe;615;Bergedorf;4,2;23479;5590;53.4833333333333, 10.1666666666667
Moorfleet;612;Bergedorf;4,5;1228;273;53.5013888888889, 10.0791666666667
Moorburg;712;Harburg;10,0;718;72;53.4891666666667, 9.94361111111111
Marmstorf;709;Harburg;5,8;8960;1545;53.4358333333333, 9.96861111111111
Marienthal;510–511;Wandsbek;3,2;13521;4225;53.5688888888889, 10.0858333333333
Lurup;220;Altona;6,3;36610;5811;53.5930555555556, 9.88277777777778
Lokstedt;317;Eimsbüttel;4,9;29373;5994;53.6030555555556, 9.95638888888889
Lohbrügge;601;Bergedorf;13,1;40327;3078;53.5094444444444, 10.1822222222222
Lemsahl-Mellingstedt;521;Wandsbek;8,0;6852;857;53.69, 10.0963888888889
Langenhorn;432;Hamburg-Nord;13,4;46144;3444;53.6655555555556, 10.0013888888889
Langenbek;707;Harburg;0,8;4038;5048;53.4372222222222, 9.98611111111111
Kleiner Grasbrook;138;Hamburg-Mitte;4,5;1108;246;53.5311111111111, 9.99361111111111
Kirchwerder;607;Bergedorf;32,3;10124;313;53.4197222222222, 10.2016666666667
Jenfeld;512;Wandsbek;5,0;27125;5425;53.5722222222222, 10.1361111111111
